"ItemID","Path","FieldId","Key","Phrase","TranslatedPhrase"
"{9BB0D6B2-8351-48DF-812F-BECDE518CA79}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/Leverage the presentation component parameters","__Short description","Leverage the presentation component parameters","Report on renderings where no rendering parameters are used. Filter by a root item.",""
"{410774B5-4162-43A1-8A0C-53CEFFB81638}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/Limit number of versions","__Short description","Limit number of versions","Report on items with the number of versions exceeds the recommended limit. Filter by a root item.",""
"{410774B5-4162-43A1-8A0C-53CEFFB81638}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/Limit number of versions","__Display name","Limit number of versions","Limit the number of versions of any item to the fewest possible",""
"{89EA962C-DA7D-4316-A492-CACA879CA5DC}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/Limit the number of items under any given node","__Short description","Limit the number of items under any given node","Report on items where the children count exceeds the recommended limit. Filter by a root item.",""
"{2CB400D1-AEE0-437D-8ED7-590B33990F5C}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/Make good use of inheritance","__Short description","Make good use of inheritance","Report on templates inheriting directly from Standard Template. Filter by a root item.",""
"{A008E2A4-625F-40A8-B476-AC798EEEB0A4}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/Standard Values define settings","__Short description","Standard Values define settings","Report on templates with no __Standard Values defined. Filter by a root item.",""
"{A008E2A4-625F-40A8-B476-AC798EEEB0A4}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/Standard Values define settings","__Display name","Standard Values define settings","Standard Values should define layout details, initial workflow, and insert options to a template.",""
"{5EDE870F-3D48-4753-B763-77E511AC464C}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/TreelistEx instead of Treelist for big trees","__Short description","TreelistEx instead of Treelist for big trees","Report on templates using Treelist instead of TreelistEx. Filter by a root item.",""
"{5EDE870F-3D48-4753-B763-77E511AC464C}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/TreelistEx instead of Treelist for big trees","__Display name","TreelistEx instead of Treelist for big trees","Use TreelistEx instead of Treelist when showing big trees",""
"{7AE883C7-E0DC-4C87-BF57-15558ADF1A2B}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/Use special tree syntax","__Short description","Use special tree syntax","Report on templates which make use of a Link template field with no Source value configured. Filter by a root item.",""
