"ItemID","Path","FieldId","Key","Phrase","TranslatedPhrase"
"{90A4B70F-D65F-477F-A3B0-CF580530DD68}","/sitecore/system/Dictionary/PowerShell/T/The data for the dialog is not available Either your server was restarted or the server cache was ","Phrase","The data for the dialog is not available Either your server was restarted or the server cache was ","The data for the dialog is not available. Either your server was restarted or the server cache was flushed. If this is a recurring problem, contact your system administrator.","Data som anvendes i denne dialogboks er ikke tilgængelig. Enten blev din server genstartet eller serverens cache blev nulstillet. Hvis dette er et gentagende problem, kontakt da din systemadministrator."
"{C7E34A15-49DB-477A-AC58-48BB27AE124A}","/sitecore/system/Dictionary/PowerShell/T/The item is not a script","Phrase","The item is not a script","The item is not a script.","Dette element er ikke et script."
"{ABF09AE4-2F7A-480B-A1EE-5BA8D10820CF}","/sitecore/system/Dictionary/PowerShell/T/The script you are running requires that you provide some values to continute running Please provi","Phrase","The script you are running requires that you provide some values to continute running Please provi","The script you are running requires that you provide some values to continute running. Please provide the parameters below.","Scriptet som du kører, kræver at du angiver nogle værdier for at det kan fortsætte. Angiv venligst disse nedenfor."
"{A13DD285-A420-4D46-B975-9628ADD33210}","/sitecore/system/Dictionary/PowerShell/T/There is no file attached","Phrase","There is no file attached","There is no file attached.","Der er ikke tilknyttet en fil."
"{CF7F6B31-DD3B-4EB2-BBF1-29F3D350FEEE}","/sitecore/system/Dictionary/PowerShell/T/Time remaining","Phrase","Time remaining","Time remaining:","Tilbageværende tid:"
"{24581C49-B427-4B38-8B7C-E3D252564701}","/sitecore/system/Dictionary/PowerShell/U/Untitled","Phrase","Untitled","Untitled","Unavngiven"
"{960325A7-C427-4769-91BF-21BA9CEB896A}","/sitecore/system/Dictionary/PowerShell/U/User b0b","Phrase","User b0b","User: <b>{0}</b>","Bruger: <b>{0}</b>"
"{79486E99-C7A9-47E3-BF25-E8FB1135D9A0}","/sitecore/system/Dictionary/PowerShell/U/Username","Phrase","Username","Username:","Brugernavn:"
"{47635A88-2E30-4FF0-8D84-D6199760261E}","/sitecore/system/Dictionary/PowerShell/V/View script results","Phrase","View script results","View script results","Vis resultatet af scriptet"
"{AC5A3550-BEA8-4F94-ABB7-E884EE49C7CC}","/sitecore/system/Dictionary/PowerShell/V/View script results and errors","Phrase","View script results and errors","View script results and errors","Vis resultatet af scriptet og fejl"
